Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,Higher Closed,Higher Open
0.0,1.396224210583658,1.2456680279341001,2.364187095484506,1.763680971449194,3.313519906888118,1.6239522020829007,Mohammed,Mohammed
0.5,2.0189436051098917,1.974866034525585,3.146394575998986,2.50647888209921,3.2225535739564926,0.5656165385385883,Mohammed,Mohammed
1.0,1.5340413362514314,1.9107589382406034,2.7342767647330697,2.3490371543701323,4.902275764780935,0.2845713175240796,Mohammed,Joe
1.5,1.7400891460411836,1.8808021801777672,2.412833321949624,2.2117937375604746,0.13260755445130457,1.3336716179696424,Mohammed,Joe
2.0,1.8590243584561474,1.7750705145211925,1.9587091649599806,2.038270309029528,4.8142995143434995,1.8540161939045738,Joe,Joe
2.5,1.800524410343782,1.8179208417762804,1.4612083225917711,1.9061388107457513,8.269118342323463,3.7156855655362477,Joe,Joe
3.0,1.797427523580877,1.8057952455471353,1.1754203020531488,1.7678187128174712,10.571198087526973,4.987630301634905,Joe,Joe
3.5,1.6701720698504818,1.7421208693963706,1.0032544515142876,1.6158143526159072,10.653224158356277,5.787296021155058,Joe,Joe
4.0,1.3524257403138273,1.3948242805464182,1.0636080022873158,1.4568530989242092,6.853795476374859,3.288935528971166,Joe,Joe
4.5,1.313309340795942,1.3015451756809984,1.0227695536102586,1.2532455589895068,6.780317786652784,4.265180631346247,Joe,Joe
5.0,1.6731594674620698,1.5743585497024861,0.7851419961084934,1.0891211188628296,12.46584537439187,9.186171967582872,Joe,Joe
5.5,1.7588600605850853,1.669275788236562,0.5826232659631609,1.0005733362417495,15.011809788883426,11.220193422133127,Joe,Joe
6.0,1.3516672031463886,1.2810284185680112,0.3979433640115672,0.8570946733646146,12.283026102354196,8.076868800063096,Joe,Joe
6.5,0.6605898535120872,0.6658498452729364,0.45073580742160996,0.7234667367744281,4.660479749881179,2.1369093176438447,Joe,Joe
7.0,0.34717070536445716,0.49124981540997315,0.4622970394526922,0.5804094340381963,1.3046134875921256,1.5272602520012786,Joe,Joe
7.5,0.18535717853257563,0.3874799909768919,0.49205205001687397,0.5065764685504145,0.6222532537868108,1.0503746422900146,Mohammed,Joe
8.0,0.18326594075426578,0.4164830763492915,0.577180560203445,0.48876398655711356,1.3393411379013376,1.5772592516876305,Mohammed,Joe
8.5,0.31405320264539605,0.3707871392897027,0.588886560013186,0.43306313666643553,0.07398519126606384,1.6046337518490024,Mohammed,Joe
9.0,0.5072396131024768,0.32101336292373855,0.6406577976101183,0.35342848027353063,1.5134439101349866,1.8285776265220086,Joe,Joe
9.5,0.5856546874636144,0.39792743058861707,0.5204237376296178,0.1741627514415206,3.311497216499257,4.577416843150426,Joe,Joe
10.0,0.563615520252684,0.5482066299492018,0.35617759101360946,0.028613099058457832,4.423714404459261,7.852632356782867,Joe,Joe
10.5,0.6292062651839082,0.596833017734594,0.11131086511219246,-0.08543611564606886,7.106312916981435,9.59780839046544,Joe,Joe
11.0,0.5995290547077049,0.5823110154682958,-0.19439805332171534,-0.11290017163441801,9.294511398032993,9.706447335283698,Joe,Joe
11.5,0.378467960373064,0.4010354663308398,-0.3167889129541418,-0.19910047931381603,7.993837230571468,8.435450011678867,Joe,Joe
12.0,0.11806372858802011,0.1228628017852627,-0.23548374225200835,-0.12378706656933393,4.6199774331256815,4.359956160134925,Joe,Joe
12.5,-0.08965568232586969,-0.021457018688409105,-0.07311911581617872,-0.027828686229697915,1.13226441065858,1.6632021112499138,Joe,Joe
13.0,-0.16604078145902176,-0.10292848317365175,-0.05968693740403856,-0.05982981286319792,0.22768878083408928,1.0229719291351858,Joe,Joe
13.5,-0.30884622746629736,-0.28990723254358536,-0.10212188742867694,-0.18725380971502356,0.9117352740686087,0.10623304078714702,Mohammed,Joe
14.0,-0.3114092732637951,-0.3628761571067938,-0.23503232001119595,-0.3555337608508786,0.14720117193278115,0.962099599828969,Joe,Joe
14.5,-0.3537062896937841,-0.38462502701157564,-0.26092008648159715,-0.3481620763351337,0.08149058051026514,0.6282731636766552,Mohammed,Joe
15.0,-0.3514001843831389,-0.43080167198785535,-0.29018214575050766,-0.28903331844912955,0.18151812308953694,0.5255784657948039,Joe,Mohammed
15.5,-0.35555887706376926,-0.5123500834362114,-0.3351454198708246,-0.3201465400766085,0.505501181714128,1.175812248686223,Joe,Mohammed
16.0,-0.2169994769667976,-0.4743956440481157,-0.3685188779723642,-0.48838580673335436,2.2199412036990593,0.9973339935120946,Joe,Joe
16.5,-0.2409044274324813,-0.4173232975563132,-0.3675850029166767,-0.6104895997936424,1.9635588219219393,2.9252974937421996,Joe,Joe
17.0,-0.39925738505788366,-0.45246606029339553,-0.45569625468306046,-0.594558707990918,1.0354299443362542,2.3447394993090325,Joe,Joe
17.5,-0.4527709911249928,-0.6840667165691499,-0.48128414076955917,-0.6259087463678802,0.687569131050462,0.08559136764818609,Joe,Mohammed
18.0,-0.5776197951196315,-0.7876966867521854,-0.6036979442784236,-0.6290805457571481,0.3882658942968975,1.284177000356837,Joe,Mohammed
18.5,-0.6760964747790879,-0.8293999866751238,-0.7569735219225658,-0.5781210617294317,0.615468374472933,2.301259042225279,Joe,Mohammed
19.0,-0.7639377246436835,-0.8332007599037128,-0.739375600673549,-0.6231635302143589,0.4423454054471243,1.8853080246913607,Mohammed,Mohammed
19.5,-0.5757938039938773,-0.7022420044548588,-0.7694542821895125,-0.7381168352515995,1.761158717347834,0.8471772737367242,Joe,Joe
20.0,-0.6109325158592811,-0.7197185078534258,-0.7108860778746553,-0.7312457155563247,0.9171229444950448,0.5692280285048472,Joe,Joe
20.5,-0.7749597732407352,-0.8282297566913048,-0.8036649932185259,-0.6806166795888153,0.031927301813872155,1.2381054323522651,Mohammed,Mohammed
21.0,-0.9445657996650079,-0.8747262514445661,-0.8805616756773595,-0.6768343302656938,1.1687556140656046,1.8291730987079493,Mohammed,Mohammed
21.5,-0.9086787752531208,-0.8263986901648293,-0.7654851998099509,-0.7647234932328667,1.7352561878022632,0.35534850188809486,Mohammed,Mohammed
22.0,-0.9419796769217409,-0.8058887914675583,-0.77233408448338,-0.8511390107308254,2.0258433933884676,0.7729348967510772,Mohammed,Joe
22.5,-0.9805437985241502,-0.8076521715573517,-0.7348019318222634,-0.8572785010373882,2.7337022384199416,0.8148373345569739,Mohammed,Joe
23.0,-0.9891842014473636,-0.8432634882148871,-0.7912829862591869,-0.854925395246069,2.3622789832960773,0.3677096094182515,Mohammed,Joe
23.5,-0.9736575774536473,-0.9071909066964475,-0.8156935478796559,-0.8932784567884777,2.001324629585093,0.0009161169886864329,Mohammed,Joe
24.0,-1.0358732163078415,-0.927669739756126,-0.6485243244243698,-0.7828046477475992,4.014171539607938,1.3732840085421962,Mohammed,Mohammed
24.5,-1.0400971918788415,-0.8583878973286647,-0.7217442885090285,-0.8777536448067454,3.460068223375871,0.42173540951959865,Mohammed,Joe
25.0,-1.0512784406460647,-0.8985552624930044,-0.8096690140856629,-0.9798389999671674,2.858254234974213,0.989625862911276,Mohammed,Joe
25.5,-0.94835229782698,-1.0216180438081672,-0.8834850322663123,-0.9303626265077402,1.184279984612755,0.9787703201246956,Mohammed,Mohammed
26.0,-0.8907305600792508,-1.0147915929676024,-0.8614888400782522,-0.8423932048149619,0.7643331981053629,1.7982233573266369,Mohammed,Mohammed
26.5,-1.0013679027287918,-0.9316780260277675,-0.9321855172260277,-0.8308153791095575,1.3381757598591886,0.9294118738191202,Mohammed,Mohammed
27.0,-1.063099820984275,-0.9713209558131503,-1.0441176578548261,-0.9017321961225581,1.066299543463101,0.6743651417772902,Mohammed,Mohammed
27.5,-1.0705602532993148,-1.0235122686414002,-1.0744844327502627,-0.8927873340644751,0.8958979952424757,1.3859323440071316,Mohammed,Mohammed
28.0,-1.0940743255255156,-1.0011854412131551,-0.8377511583663858,-0.8780027043889407,3.074213608221136,1.2720552969711454,Mohammed,Mohammed
28.5,-1.0634519057815979,-0.9908660166285169,-0.8353372590420405,-0.931371444705285,2.77527384690302,0.603129268823853,Mohammed,Mohammed
29.0,-0.9789851852128975,-1.0785788633395255,-0.8429364240937259,-0.963048911757759,1.8342448317601274,1.320816259268029,Mohammed,Mohammed
