Filter,Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,P-Value Closed,P-Value Open,Higher Closed,Higher Open
No Filter,0.0,1.396224210583658,1.2456680279341001,2.364187095484506,1.763680971449194,3.313519906888118,1.6239522020829007,0.3917432484862555,0.421420920829637,Mohammed,Mohammed
No Filter,0.5,2.0189436051098917,1.974866034525585,3.146394575998986,2.50647888209921,3.2225535739564926,0.5656165385385883,0.3917432484862555,0.421420920829637,Mohammed,Mohammed
No Filter,1.0,1.5340413362514314,1.9107589382406034,2.7342767647330697,2.3490371543701323,4.902275764780935,0.2845713175240796,0.3917432484862555,0.421420920829637,Mohammed,Joe
No Filter,1.5,1.7400891460411836,1.8808021801777672,2.412833321949624,2.2117937375604746,0.13260755445130457,1.3336716179696424,0.3917432484862555,0.421420920829637,Mohammed,Joe
No Filter,2.0,1.8590243584561474,1.7750705145211925,1.9587091649599806,2.038270309029528,4.8142995143434995,1.8540161939045738,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,2.5,1.800524410343782,1.8179208417762804,1.4612083225917711,1.9061388107457513,8.269118342323463,3.7156855655362477,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,3.0,1.797427523580877,1.8057952455471353,1.1754203020531488,1.7678187128174712,10.571198087526973,4.987630301634905,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,3.5,1.6701720698504818,1.7421208693963706,1.0032544515142876,1.6158143526159072,10.653224158356277,5.787296021155058,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,4.0,1.3524257403138273,1.3948242805464182,1.0636080022873158,1.4568530989242092,6.853795476374859,3.288935528971166,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,4.5,1.313309340795942,1.3015451756809984,1.0227695536102586,1.2532455589895068,6.780317786652784,4.265180631346247,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,5.0,1.6731594674620698,1.5743585497024861,0.7851419961084934,1.0891211188628296,12.46584537439187,9.186171967582872,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,5.5,1.7588600605850853,1.669275788236562,0.5826232659631609,1.0005733362417495,15.011809788883426,11.220193422133127,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,6.0,1.3516672031463886,1.2810284185680112,0.3979433640115672,0.8570946733646146,12.283026102354196,8.076868800063096,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,6.5,0.6605898535120872,0.6658498452729364,0.45073580742160996,0.7234667367744281,4.660479749881179,2.1369093176438447,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,7.0,0.34717070536445716,0.49124981540997315,0.4622970394526922,0.5804094340381963,1.3046134875921256,1.5272602520012786,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,7.5,0.18535717853257563,0.3874799909768919,0.49205205001687397,0.5065764685504145,0.6222532537868108,1.0503746422900146,0.3917432484862555,0.421420920829637,Mohammed,Joe
No Filter,8.0,0.18326594075426578,0.4164830763492915,0.577180560203445,0.48876398655711356,1.3393411379013376,1.5772592516876305,0.3917432484862555,0.421420920829637,Mohammed,Joe
No Filter,8.5,0.31405320264539605,0.3707871392897027,0.588886560013186,0.43306313666643553,0.07398519126606384,1.6046337518490024,0.3917432484862555,0.421420920829637,Mohammed,Joe
No Filter,9.0,0.5072396131024768,0.32101336292373855,0.6406577976101183,0.35342848027353063,1.5134439101349866,1.8285776265220086,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,9.5,0.5856546874636144,0.39792743058861707,0.5204237376296178,0.1741627514415206,3.311497216499257,4.577416843150426,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,10.0,0.563615520252684,0.5482066299492018,0.35617759101360946,0.028613099058457832,4.423714404459261,7.852632356782867,0.3917432484862555,0.421420920829637,Joe,Joe
No Filter,10.5,0.6292062651839082,0.596833017734594,0.11131086511219246,-0.08543611564606886,7.106312916981435,9.59780839046544,0.3917432484862555,0.421420920829637,Joe,Joe
