Filter,Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,P-Value Closed,P-Value Open,Higher Closed,Higher Open
No Filter,0.0,2.524125064071726,1.9912648865190041,2.4453822376474217,2.0685960098430995,4.6896637893073105,7.887779362767166,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,0.5,3.6026237682923483,2.6232297427422893,3.189549060343339,2.8382557217725575,9.51568353523352,8.390321934359392,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,1.0,2.873986895214576,2.5339397872105995,2.840901973952119,2.421856220613324,4.722233518122138,11.016405111223538,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,1.5,2.1881280033446786,2.39451564312784,2.441256710209989,2.137699402257895,0.9210898308504198,11.908034082182798,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,2.0,1.9530371219766018,2.2565934723540826,1.8913305627260333,2.0124643062373564,3.7257027901946067,11.423689723432773,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,2.5,1.6091904008997286,2.029440456081829,1.3458273759324313,1.9019720096747736,5.2532221630515785,9.786452755664442,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,3.0,1.3578550879349103,1.8024184004211266,1.1749633905134294,1.7339630032098443,4.103113070456935,8.654944385319304,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,3.5,1.290428307548248,1.5918366742078007,1.1535063452770817,1.5126121257442051,3.5520466492797667,8.179665080710851,0.8396609958048593,0.09071199756428111,Joe,Joe
No Filter,4.0,1.0290586974767308,1.3504736322117374,1.2875959185013,1.3428851352558828,0.7452128049176316,6.8986990767715675,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,4.5,0.7313128411248222,1.115674820114898,1.2296691185513724,1.2183109948256765,3.544923608625865,5.29720017064184,0.8396609958048593,0.09071199756428111,Mohammed,Joe
No Filter,5.0,0.47941271460184665,0.9310729599328478,1.1842969019389986,1.0419073590679329,5.949705854114585,4.725924901402044,0.8396609958048593,0.09071199756428111,Mohammed,Joe
