Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,Higher Closed,Higher Open
0.0,2.524125064071726,1.9912648865190041,2.4453822376474217,2.0685960098430995,4.6896637893073105,7.887779362767166,Joe,Joe
0.5,3.6026237682923483,2.6232297427422893,3.189549060343339,2.8382557217725575,9.51568353523352,8.390321934359392,Joe,Joe
1.0,2.873986895214576,2.5339397872105995,2.840901973952119,2.421856220613324,4.722233518122138,11.016405111223538,Joe,Joe
1.5,2.1881280033446786,2.39451564312784,2.441256710209989,2.137699402257895,0.9210898308504198,11.908034082182798,Joe,Joe
2.0,1.9530371219766018,2.2565934723540826,1.8913305627260333,2.0124643062373564,3.7257027901946067,11.423689723432773,Joe,Joe
2.5,1.6091904008997286,2.029440456081829,1.3458273759324313,1.9019720096747736,5.2532221630515785,9.786452755664442,Joe,Joe
3.0,1.3578550879349103,1.8024184004211266,1.1749633905134294,1.7339630032098443,4.103113070456935,8.654944385319304,Joe,Joe
3.5,1.290428307548248,1.5918366742078007,1.1535063452770817,1.5126121257442051,3.5520466492797667,8.179665080710851,Joe,Joe
4.0,1.0290586974767308,1.3504736322117374,1.2875959185013,1.3428851352558828,0.7452128049176316,6.8986990767715675,Mohammed,Joe
4.5,0.7313128411248222,1.115674820114898,1.2296691185513724,1.2183109948256765,3.544923608625865,5.29720017064184,Mohammed,Joe
5.0,0.47941271460184665,0.9310729599328478,1.1842969019389986,1.0419073590679329,5.949705854114585,4.725924901402044,Mohammed,Joe
5.5,0.5230416005136682,0.7595465536173519,0.7066091225151319,0.9182883640294699,0.7034616500969868,3.8419080242590695,Mohammed,Joe
6.0,0.5111676668442142,0.6337172042859145,0.417037909733336,0.7778116434196025,2.042279729999958,3.62990872704596,Joe,Joe
6.5,0.4043819947153344,0.5778865855033759,0.23813270723736552,0.6044836653575949,2.611093305837585,4.508922610376084,Joe,Joe
7.0,0.25241247025123653,0.44203737502839485,0.10734969036164502,0.45196937280751304,2.18892978894657,4.2875049858479795,Joe,Joe
7.5,0.26017324540095116,0.3551101252214537,0.6131604884799924,0.23760203021285758,2.754387052913252,5.169556948638803,Mohammed,Joe
8.0,0.18395771058464314,0.26949617386804287,0.5095539056323676,0.12491412479076024,2.5879592430337937,5.175291576429386,Mohammed,Joe
8.5,0.21532590399215687,0.14488582323958027,0.11044234178418702,0.08311933591093121,1.7376712467999909,4.112171089581606,Joe,Joe
9.0,0.09759285904590051,-0.010515235392389998,0.06196147293383763,0.017798041678042324,0.8850275422698157,2.902069899544527,Joe,Joe
9.5,-0.025803314448239006,-0.11357053602932367,0.1321005294325371,0.12495541026234627,1.2117407973222463,0.7804224237957289,Mohammed,Joe
10.0,-0.12008949596727317,-0.21676910058725227,0.16219837696237066,0.11182705845757127,2.580162746825696,0.28837126482457354,Mohammed,Mohammed
10.5,-0.19657566844979862,-0.2553389775930527,0.14670169632227045,0.16579333695508539,3.293234471958372,1.2039424649259383,Mohammed,Mohammed
