Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,Higher Closed,Higher Open
0.0,2.0955890521728184,1.8957314987735743,2.2580532461664986,1.779503922826051,0.9797596692828705,5.847878844124924,Mohammed,Joe
0.5,2.6818242784487283,2.4266717561999047,2.931279742257641,2.701915864863302,2.2211845084754387,2.4336166379315642,Mohammed,Joe
1.0,2.234058496124833,2.224113002819056,2.5410768082827406,2.490583111164097,2.4540970128342146,2.3255467020618603,Mohammed,Joe
1.5,1.6396738227531447,1.9276044336000882,2.104586290273938,2.291096461604168,3.539363197974861,1.0648826950601666,Mohammed,Joe
2.0,1.5418987899244152,1.8489616814146408,1.830621668206897,1.9978044146964988,1.7923713024574752,3.1426888485224964,Mohammed,Joe
2.5,1.3001892190946494,1.77815458620054,1.7915228321341095,1.8129374224343358,3.551923622376206,4.218694269626361,Mohammed,Joe
3.0,1.3732208590538548,1.59823375782995,1.6887828667563136,1.6864053661737874,1.9292073804264795,3.5087556362038868,Mohammed,Joe
3.5,1.5357831616069604,1.4990429478032297,1.262416991852194,1.4603500218692427,3.5655970420310457,4.685771364956448,Joe,Joe
4.0,1.3923561369100346,1.4093354130523792,1.1615921895163863,1.2775639703814892,3.2608406154355976,5.532935221483935,Joe,Joe
4.5,1.2361019970219276,1.2927130399066136,1.210134495841041,1.1786038876796425,1.4202863598124846,5.242786769130767,Joe,Joe
5.0,0.8737040674619839,1.1026536207753552,0.9147627186914276,1.0998392652237956,1.0371175965009787,3.9419609624760117,Joe,Joe
5.5,0.6520739687612578,0.9942418980414707,0.6606535335764389,1.1195016747636346,1.5025553065316313,2.551809299241942,Joe,Joe
6.0,0.6724268786346007,0.8285395125056569,0.6749352125649447,0.8983232628257719,1.5460472162812575,2.948065262992646,Joe,Joe
6.5,0.556769070840492,0.7502072046512454,0.6355662905881405,0.7929088095794172,0.9008824080285045,3.14398691361518,Joe,Joe
7.0,0.6248212785417812,0.6784648611967643,0.4796347474464196,0.7267661269281243,2.9863058952404806,3.0183358867773293,Joe,Joe
7.5,0.6014776015744698,0.6458744912387222,0.5830365733808277,0.5565967603791041,1.7955487231124074,4.367349956417078,Joe,Joe
8.0,0.8711588743464175,0.643398961090518,0.5591814423684358,0.44398467758893706,4.4014300017300805,5.470143381003346,Joe,Joe
8.5,0.9363009984172014,0.6744976593749011,0.4756857744837342,0.46127006223734274,5.771264480886399,5.638865544180094,Joe,Joe
9.0,0.9463797850854121,0.6735781323760863,0.47272519473377983,0.33221549307121573,5.8883607325362926,6.923775392238905,Joe,Joe
9.5,0.8785155858209006,0.5370986095242162,0.4370908735472876,0.14464093162724326,5.629179653422594,7.304362519167285,Joe,Joe
10.0,0.5417462868471171,0.3360442066964888,0.33631320211282173,-0.0404904872690418,3.6186364020039683,6.949921589182767,Joe,Joe
10.5,0.30024972285179646,0.23893365613484072,0.024232713662885704,-0.1376728171559511,4.460998049602404,6.856620760543729,Joe,Joe
11.0,0.13807752132022136,0.1535378560407093,-0.1278132626484532,-0.17187390182693638,4.47876353023799,6.260216733242515,Joe,Joe
11.5,0.06620939257917706,0.04207307293632021,-0.168795294351923,-0.20928922225243582,4.235201258702124,5.409231929859796,Joe,Joe
12.0,0.04246315499175066,-0.0181546605752221,-0.2940932642970813,-0.27120881433745114,5.219162541938969,5.367897595553471,Joe,Joe
12.5,0.11047402032747117,-0.086313132664932,-0.1983845189763504,-0.22490178721263474,4.907453690987347,4.153277494970286,Joe,Joe
13.0,-0.03883334202587135,-0.22162856132886083,-0.15141198278436793,-0.27685480155386416,3.1431235342621124,3.1857478968881083,Joe,Joe
13.5,-0.18895948354908731,-0.323879544789742,-0.24653735840500174,-0.3074908184567558,2.7249942135005547,2.3681132721189515,Joe,Joe
14.0,-0.32153222459639774,-0.4533922586249223,-0.32025585711820453,-0.2437471415543669,2.257799767348497,0.3034457705443033,Joe,Joe
14.5,-0.3362506842108959,-0.4344636603993875,-0.381353418891041,-0.35869584885309524,2.7099069816290076,1.6651943466526422,Joe,Joe
15.0,-0.3292819903149621,-0.3391606095806403,-0.47797959995204464,-0.4309427525570579,3.6916966390979047,3.438783457283731,Joe,Joe
