Filter,Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,P-Value Closed,P-Value Open,Higher Closed,Higher Open
No Filter,0.0,2.0955890521728184,1.8957314987735743,2.2580532461664986,1.779503922826051,0.9797596692828705,5.847878844124924,0.22509817371313864,0.141376213854346,Mohammed,Joe
No Filter,0.5,2.6818242784487283,2.4266717561999047,2.931279742257641,2.701915864863302,2.2211845084754387,2.4336166379315642,0.22509817371313864,0.141376213854346,Mohammed,Joe
No Filter,1.0,2.234058496124833,2.224113002819056,2.5410768082827406,2.490583111164097,2.4540970128342146,2.3255467020618603,0.22509817371313864,0.141376213854346,Mohammed,Joe
No Filter,1.5,1.6396738227531447,1.9276044336000882,2.104586290273938,2.291096461604168,3.539363197974861,1.0648826950601666,0.22509817371313864,0.141376213854346,Mohammed,Joe
No Filter,2.0,1.5418987899244152,1.8489616814146408,1.830621668206897,1.9978044146964988,1.7923713024574752,3.1426888485224964,0.22509817371313864,0.141376213854346,Mohammed,Joe
No Filter,2.5,1.3001892190946494,1.77815458620054,1.7915228321341095,1.8129374224343358,3.551923622376206,4.218694269626361,0.22509817371313864,0.141376213854346,Mohammed,Joe
No Filter,3.0,1.3732208590538548,1.59823375782995,1.6887828667563136,1.6864053661737874,1.9292073804264795,3.5087556362038868,0.22509817371313864,0.141376213854346,Mohammed,Joe
No Filter,3.5,1.5357831616069604,1.4990429478032297,1.262416991852194,1.4603500218692427,3.5655970420310457,4.685771364956448,0.22509817371313864,0.141376213854346,Joe,Joe
No Filter,4.0,1.3923561369100346,1.4093354130523792,1.1615921895163863,1.2775639703814892,3.2608406154355976,5.532935221483935,0.22509817371313864,0.141376213854346,Joe,Joe
No Filter,4.5,1.2361019970219276,1.2927130399066136,1.210134495841041,1.1786038876796425,1.4202863598124846,5.242786769130767,0.22509817371313864,0.141376213854346,Joe,Joe
