Filter,Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,P-Value Closed,P-Value Open,Higher Closed,Higher Open
No Filter,0.0,2.0262247292433746,2.069121048961502,2.3164971419073126,2.2009591619242883,15.074790613330913,1.0614819578422416,0.02588849900499366,0.04038277994249794,Mohammed,Mohammed
No Filter,0.5,3.161582864849949,2.774458331543766,2.7363196687212548,2.859581434985767,11.382598304652262,1.7123296105334092,0.02588849900499366,0.04038277994249794,Mohammed,Mohammed
No Filter,1.0,2.6969842238326835,2.495816891321707,2.5019051844350586,2.4705695276330433,12.185361942306603,0.1135094340141265,0.02588849900499366,0.04038277994249794,Mohammed,Mohammed
No Filter,1.5,2.2619657185216533,2.1845401460445455,2.0765230927659903,2.154636587926713,10.608737180025901,0.436929287634122,0.02588849900499366,0.04038277994249794,Mohammed,Joe
No Filter,2.0,1.9222825817119733,1.9465712695806325,1.5335255318173866,1.9982948337461786,6.993417803578936,0.029478463841275726,0.02588849900499366,0.04038277994249794,Mohammed,Mohammed
No Filter,2.5,1.878811416951335,1.761610396300393,1.3582685072229395,1.8445302473364769,5.334712370611812,0.056129738089740755,0.02588849900499366,0.04038277994249794,Mohammed,Mohammed
No Filter,3.0,1.7079438507725688,1.6240713072339916,1.3509222315383766,1.707351796556268,6.521776607809253,0.1619008879371009,0.02588849900499366,0.04038277994249794,Mohammed,Joe
No Filter,3.5,1.5010531255202335,1.450611842639363,1.2236198459754102,1.5113660169950172,6.620126390856091,0.6762204696238978,0.02588849900499366,0.04038277994249794,Mohammed,Joe
No Filter,4.0,1.1746172645779498,1.3015841203762353,1.0834833120796659,1.3141496054133799,7.461978934587441,1.418414904730696,0.02588849900499366,0.04038277994249794,Mohammed,Joe
No Filter,4.5,0.9799511523523454,1.1870167916778727,1.176792647179364,1.2004182669418817,9.964185537484845,1.5944519955564038,0.02588849900499366,0.04038277994249794,Mohammed,Joe
No Filter,5.0,1.0217962923775914,1.0924773977821551,1.14540036202601,1.1066885629001924,9.298140094476787,1.7384672492084094,0.02588849900499366,0.04038277994249794,Mohammed,Joe
No Filter,5.5,0.9519992048590149,1.0096159508486282,1.0271694381936123,0.9628324472372486,8.479991664067105,2.50733963747913,0.02588849900499366,0.04038277994249794,Mohammed,Joe
