Filter,Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,P-Value Closed,P-Value Open,Higher Closed,Higher Open
No Filter,0.0,2.4545535197593797,2.440867956469192,-7.132636534126672,2.2954032184880897,20.871464843122755,1.0810508407077535,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,0.5,3.7658592982505694,3.2875864376684616,1.1820162341577805,3.143309298351885,18.430046854125514,0.10191871443865352,6.709681220992104e-84,0.06171330761346302,Mohammed,Mohammed
No Filter,1.0,2.92235601376324,2.9464491201331033,2.4068520489778984,2.6664875182774996,24.27255975875035,1.6686320808868835,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,1.5,2.3660467202749493,2.337077670612497,1.1684835227069617,2.0809883147298662,26.795990641287677,2.2833584262401985,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,2.0,2.0617073571538644,1.9901511423321376,0.5220128456761913,1.788221217477207,28.196629072480082,2.2450872447319554,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,2.5,1.6886183960242072,1.8433258437555653,0.7537801838445978,1.784178474964783,30.579358520839936,1.081800409314102,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,3.0,1.478544719910981,1.6239782754279506,0.5725002288848471,1.6492594547570327,31.718362020094887,0.5773185979966833,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,3.5,1.4138524738378797,1.3515711981682754,0.1880167249528974,1.3430338312683632,31.85551895461737,1.2778963750463426,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,4.0,1.0474402875828244,1.2407521656001317,0.15306968809827165,1.1725485259247557,34.024961570909674,2.002251173879051,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,4.5,0.8486877255623577,1.124297741450642,0.16062895811827174,1.0170014102268234,35.21896277938607,2.5375116239595386,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,5.0,0.7375329962280569,0.8931859716565542,0.1980135533441991,0.8737887559390103,35.90827130279647,2.01609412083441,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,5.5,0.589556888784503,0.7315154474324479,0.3418103627206199,0.765111576611073,36.88703194263694,1.732643877095632,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
No Filter,6.0,0.4359441590605064,0.5937038082688159,0.29417057683988834,0.7671714366845531,37.77509787217107,0.5847440635863634,6.709681220992104e-84,0.06171330761346302,Mohammed,Joe
