Filter,Frequency (Hz),Joe Z-Score Closed,Joe Z-Score Open,Mohammed Z-Score Closed,Mohammed Z-Score Open,Absolute Delta Closed,Absolute Delta Open,P-Value Closed,P-Value Open,Higher Closed,Higher Open
No Filter,0.0,2.5059937862573283,1.9567838642159185,2.4313175117050583,2.780224842084259,21.555656829087013,28.982270835022327,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,0.5,3.488218239658814,2.6929996786598656,3.317196185065264,3.4139048445681586,25.488267647346575,30.262452228891732,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,1.0,2.9015000664551036,2.4921837963857616,2.7354463385548105,2.6990136485795695,22.48049438788264,22.752708098970103,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,1.5,2.2210574994839476,2.257463516276381,2.262999466532508,2.3401503091296516,21.525560681835778,20.272745434728122,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,2.0,1.906862602467529,2.04728790653019,1.9747002757145375,1.6839602102019784,20.205918719922956,13.628608288648614,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,2.5,1.6272989892119183,1.900279102245848,1.7677449807687382,1.405884593463634,19.652638078271067,11.371075492126604,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,3.0,1.327766527108597,1.7496549284796454,1.4850314895174048,1.1443323354289694,18.29601635898929,9.36664262309613,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,3.5,1.0866446553222606,1.593779693925097,1.3228296427731214,1.1485061443944755,18.022947148405656,10.923102445231532,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,4.0,0.6880804179964085,1.4518518690202147,1.1277355014550636,1.1892855383484175,18.486254518870556,12.828797035280353,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,4.5,0.6908243236598348,1.2974022345822849,0.948309186129219,0.9471692781202997,16.21862875004553,11.117964390009632,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
No Filter,5.0,0.557732453890908,1.129706546404782,0.8397565549851707,0.7366187501157592,15.8296185165675,9.951704266906798,1.8825220876496018e-06,6.378745756007358e-07,Mohammed,Mohammed
